Id,FIPS_City,Title,Description,Start_Date,End_Date,End_Date_Known,Post_Date,Level,FIPS_State,State,State_Abbr,FIPS_County,County,City,Latitude,Longitude,IsPositive,Agriculture,Business_And_Industry,Energy,Fire,Plants_And_Wildlife,Relief_Response_And_Restrictions,Society_And_Public_Health,Tourism_And_Recreation,Water_Supply_And_Quality,Total,Impact Source,x,y
58122,06-60214,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6045,Mendocino County,Redwood Valley,39.2654449,-123.2044496,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13715056.592937533,4759765.916161341
58122,06-38520,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6053,Monterey County,King City,36.2127439,-121.1260287,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13483687.836695435,4329934.228619445
58122,06-64224,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6053,Monterey County,Salinas,36.6777372,-121.6555013,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13542628.45691643,4394282.198091835
58122,06-75000,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6077,San Joaquin County,Stockton,37.9577016,-121.2907796,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13502027.822991168,4573452.18960349
58122,06-68252,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6081,San Mateo County,San Mateo,37.5629917,-122.3255254,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13617215.198547646,4517873.814819305
58122,06-73262,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6081,San Mateo County,South San Francisco,37.654656,-122.4077498,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13626368.376886433,4530754.503248455
58122,06-43280,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6085,Santa Clara County,Los Altos,37.3852183,-122.1141298,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13593682.747999707,4492938.137288189
58122,06-19402,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6095,Solano County,Dixon,38.4454641,-121.8232958,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13561307.255214341,4642547.493220976
58122,06-82954,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6107,Tulare County,Visalia,36.3302284,-119.2920585,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13279531.207901396,4346155.947242451
58122,06-78582,"Cal Water returned to Stage 1 restrictions; Bakersfield, California at Stage 2","Cal Water has rescinded Stage 2 of its water shortage contingency plan and was at Stage 1. Stage 2 restrictions began in December 2021. 
Bakersfield’s Domestic Water System, however, remained at Stage 2 of its drought mitigation plan as they rely on groundwater instead of surface water. Between October 2022 and March 2023, water customers reduced their use by 16.5% compared to the same time frame three years ago.
BakersfieldNow (Calif.), May 11, 2023",12/15/2021,5/11/2023,reported,5/13/2023,City,6,California,CA,6111,Ventura County,Thousand Oaks,34.1705609,-118.8375937,0,0,0,0,0,0,1,0,0,1,1,https://moderator.droughtreporter.unl.edu/RSSfeed/ImpactView/58122,-13228940.417781932,4051727.2453055065
